Product ID,Reviews,Questions,Total reviews
PID42,"Muhammad T.
2 weeks ago
...
excellent product. recieved within a week.. thank you Daraz and Seller
Color Family:Purple, Storage Capacity:64GB
Shoaib J.
3 weeks ago
...
Delivery in 2 days & remarks 10/10
Color Family:Black, Storage Capacity:64GB
Ruman R.
2 weeks ago
...
I greet such honest trader because of delivery at time and geniune product.Infinite thanks.May Allah you live long and progress by leaps and bounds.
Color Family:Blue, Storage Capacity:64GB
1
2
3
4
5
6
7",33,20
PID43,"Muhammad U.
2 months ago
...
Tecno spark 10C genuine mobile condition ok new piece i liked it very much
Seller Response
2 months ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From S4 Shopping Take Care Allah Hafiz
Color Family:Black, Storage Capacity:128GB
9
Salman S.
3 months ago
...
Received on time the seller was very cooperative. originally requested green colour but due to unavailability from company, had to settle for blue.
Seller Response
3 months ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From S4 Shopping Take Care Allah Hafiz
Color Family:Green, Storage Capacity:128GB
5
عنایت ن.
3 days ago
...
excellent seller good cooperation timely delivered
Seller Response
3 days ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From S4 Shopping Take Care Allah Hafiz
Storage Capacity:128GB, Color Family:Blue
1
1
2
3
4
5",0,13
PID44,"Haroon S.
1 week ago
...
mobile was box packed and looks very good.. let's see it's durability
Seller Response
1 week ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Ali Communication Khanewal Take Care Allah Hafiz
Storage Capacity:64GB, Color Family:Grey
Ahmad A.
1 week ago
...
Mashallah Buht hi Achi parking he or delivery bhi fast hoi or seller ka response bhi buht acha Raha thank you.🌹
Seller Response
1 week ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Ali Communication Khanewal Take Care Allah Hafiz
Storage Capacity:64GB, Color Family:Green
1
fatima A.
2 weeks ago
...
totally satisfied with the service
Seller Response
2 weeks ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Ali Communication Khanewal Take Care Allah Hafiz
Storage Capacity:64GB, Color Family:Grey
3
1
1
2
3
4
5
6",0,17
PID45,"Waqar M.
3 weeks ago
...
good hai, body achi hai performance b achi hai but camera result guzare laik hai
Storage Capacity:64GB, Color Family:Blue
Muhammad T.
2 months ago
...
Thank you so much😊 amazing product Thanks daraz🥰
Storage Capacity:64GB, Color Family:Green
17
2
Rao K.
3 weeks ago
...
good product nice mobile in this price.good expiries. seller very nice man. thanks draz.
Storage Capacity:64GB, Color Family:Blue
1
6
1
2
3
4
5",31,15
PID46,"Tayyab A.
3 months ago
...
Good thing for me.
Seller Response
3 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Color Family:Blue, Storage Capacity:64GB
5
Basharat A.
4 months ago
...
Both Aala cell phone hey. 3rd set purchase from same vendor, vendor b boht coaprative hey, delivery very fast.thanks to Daraz
Seller Response
3 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Color Family:Black, Storage Capacity:64GB
5
Basharat A.
4 months ago
...
very good Mobile 2nd set purchase from same seller, very good seller, thanks to draz
Seller Response
4 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Color Family:Black, Storage Capacity:64GB
1
1
2
3
4
•••
11",7,31
PID47,"Salman T.
5 months ago
...
I purchased mobiles before from this seller. Best seller on daraz and trustworthy. I got the order the very next day. The original genuine pin packed mobile received, unboxed the mobile by myself. Again got satisfied with their service and package.
Seller Response
4 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Blue
3
Syed N.
2 weeks ago
...
Received very fast. in very good packing. satisfied and recomended
Seller Response
2 weeks ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Purple
Yasir I.
3 months ago
...
Thanks 😊 Excellent Presentation 👏
Seller Response
3 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Blue
1
2
3
4",1,11
PID48,"Farooq A.
2 months ago
...
Fast and furious type delivery service. I received original product. highly recommended to this saler.
Seller Response
2 months ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Sid Sam Communication Khanewal Take Care ALLAH Hafiz.
Storage Capacity:128GB, Color Family:Blue
1",0,1
PID49,No reviews,1,0
PID50,"amjad R.
6 months ago
...
Its other wise is good but battery runs so fast and also runs a bit slow other wise its all good
Seller Response
6 months ago
Advocate sbThanks for your valuable comments
Color Family:Gold, Storage Capacity:64GB
12
Artisit M.
1 month ago
...
MaashaAllah acha phone hai, battery bhi pura din chalti hai, thanks seller
Seller Response
1 month ago
thanks for taking out time for review, we really appreciate you
Storage Capacity:64GB, Color Family:Red
6
Muhammad S.
1 week ago
...
acha product Baja hai acha seller ha
Seller Response
1 week ago
thanks for your good gestures it's helpful for others.
Storage Capacity:64GB, Color Family:Black
3
1
2
3
4",60,11
PID51,"Khalid H.
1 month ago
...
I'm extremely satisfied with the mobile I ordered. The product is in great condition as shown on add, the service was excellent, and the delivery was incredibly fast, just two days after ordering. Thank you Daraz and Seller👍
Seller Response
1 month ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Storage Capacity:64GB, Color Family:Black
5
0***7
1 month ago
...
great seller.. fastest delivery...10/10 points for seller...Jo purchase kiya whi Aya...seller👍
Seller Response
1 month ago
Thank you for trusting alhamdulilah trading khanewal, hope you will prefer us for next purchase. Thank you once again for rating Jazak Allah
Storage Capacity:64GB, Color Family:Black
4
Abdul M.
2 months ago
...
Pathetic supplier. Wrong color dispatch and Daraz people also not check product before pack in flyer very disappointed .
Storage Capacity:64GB, Color Family:Gold
12
1
2
3
4",32,11
